name,salary,published_at,area_name
Менеджер по закупкам (пассивное сетевое оборудование),30279.0,2003-08-21 21:51:34+04:00,Москва
Ведущий инженер,18167.0,2003-08-22 12:48:20+04:00,Москва
Менеджер проектов по внедрению информационных систем,,2003-08-22 13:10:54+04:00,Москва
Програмист,,2003-08-22 13:36:48+04:00,Москва
Руководитель направления (оказание консультационных услуг крупным предприятиям нефтегазового комплекса),,2003-08-22 16:44:45+04:00,Москва
Программист 1С,,2003-08-22 16:47:19+04:00,Москва
Аналитик (Product-Marketing),,2003-08-22 17:08:54+04:00,Москва
Тестер ПО,12111.0,2003-08-22 17:14:57+04:00,Санкт-Петербург
Руководитель проекта (ERP-системы),91510.0,2003-09-22 00:00:00+04:00,Москва
Руководитель проекта по внедрению и сопровождению финансового модуля КИС,75697.0,2003-08-22 17:35:21+04:00,Москва
Специалист по сопровождению SAP R/3,48446.0,2003-08-22 17:36:20+04:00,Москва
Аккаунт-менеджер/руководитель проекта/помощник руководителя проекта,45418.0,2003-08-22 17:48:58+04:00,Москва
Инженер по сетевым технологиям,,2003-10-13 00:00:00+04:00,Москва
"Инженер проекта  (HP Network Node Manager, HP Operations)",,2003-12-05 00:00:00+03:00,Москва
Internship course in IT Department for 4 - 5 yrs student,,2003-08-22 18:12:50+04:00,Санкт-Петербург
Руководитель проектов в телекоммуникационную компанию,45418.0,2003-08-23 19:33:28+04:00,Москва
ПРОГРАММИСТ,24223.0,2003-08-25 11:14:43+04:00,Москва
Ведущий специалист по работе с партнерами,36334.0,2003-08-25 12:17:56+04:00,Москва
Ведущий специалист САПР,60558.0,2003-08-25 12:22:36+04:00,Москва
Консультант по внедрению системы управления персоналом,30279.0,2003-08-25 12:24:49+04:00,Москва
Ведущий специалист по продажам ПО (финансовые и аналитические системы),36334.0,2003-08-25 12:26:47+04:00,Москва
Ведущий консультант по внедрению Oracle e-Business Suite (финансы),45418.0,2003-08-25 12:28:39+04:00,Москва
Менеджер проекта по внедрению MBS Navision,45418.0,2003-08-25 12:30:16+04:00,Москва
"Ведущий специалист, тренер по продуктам Microsoft Business Solutions – Navision и Axapta",45418.0,2003-08-25 12:31:33+04:00,Москва
Консультант по Business Intelligence/Data Warehouse,,2003-08-25 13:19:13+04:00,Москва
Key Account Manager/Sales-manager по работе с корпоративными клиентами,61007.0,2003-09-19 00:00:00+04:00,Москва
Key - Аccount Manager по нефтегазовому сектору,,2003-10-17 00:00:00+04:00,Москва
Проектировщик,39362.0,2003-08-25 13:39:34+04:00,Москва
"Менеджер по продажам, менеджер по работе с ключевыми клиентами в секторе TELCO",39798.0,2003-10-17 00:00:00+04:00,Москва
Менеджер по продажам,24491.0,2003-10-17 00:00:00+04:00,Москва
Технический консультант по продажам СКС,,2003-09-19 00:00:00+04:00,Москва
WEB-программист,,2003-08-25 14:15:22+04:00,Москва
